game_id,team_id,player_id,player_name,team_name,1pt_shooting_percentage,2pt_shooting_percentage,3pt_shooting_percentage,1pt_made,2pt_made,3pt_made,1pt_missed,2pt_missed,3pt_missed,1pt_total,2pt_total,3pt_total
g0042100306,1610612748,1629130,Duncan Robinson,Miami Heat,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100306,1610612748,200782,P.J. Tucker,Miami Heat,75.0,50.0,100.0,3,1,2,1,1,0,4,2,2
g0042100306,1610612738,1628369,Jayson Tatum,Boston Celtics,100.0,100.0,57.14,8,5,4,0,0,3,8,5,7
g0042100306,1610612748,202710,Jimmy Butler,Miami Heat,100.0,57.14,50.0,11,12,4,0,9,4,11,21,8
g0042100306,1610612748,1628389,Bam Adebayo,Miami Heat,0,50.0,0,0,3,0,0,3,0,0,6,0
g0042100306,1610612738,1627759,Jaylen Brown,Boston Celtics,77.78,50.0,33.33,7,5,1,2,5,2,9,10,3
g0042100306,1610612738,1628401,Derrick White,Boston Celtics,80.0,42.86,57.14,4,3,4,1,4,3,5,7,7
g0042100306,1610612748,203506,Victor Oladipo,Miami Heat,100.0,50.0,25.0,4,1,1,0,1,3,4,2,4
g0042100306,1610612738,1629684,Grant Williams,Boston Celtics,100.0,0.0,0,2,0,0,0,2,0,2,2,0
g0042100306,1610612738,1630202,Payton Pritchard,Boston Celtics,0,0,0.0,0,0,0,0,0,1,0,0,1
g0042100307,1610612738,1629057,Robert Williams III,Boston Celtics,100.0,0.0,0,2,0,0,0,2,0,2,2,0
g0042100307,1610612738,203935,Marcus Smart,Boston Celtics,83.33,41.67,30.0,5,5,3,1,7,7,6,12,10
g0042100307,1610612748,1629216,Gabe Vincent,Miami Heat,100.0,0.0,33.33,1,0,1,0,1,2,1,1,3
g0042100307,1610612748,1629622,Max Strus,Miami Heat,0,33.33,28.57,0,1,2,0,2,5,0,3,7
g0042100307,1610612738,201143,Al Horford,Boston Celtics,0,33.33,16.67,0,1,1,0,2,5,0,3,6
g0042100307,1610612748,200768,Kyle Lowry,Miami Heat,66.67,50.0,16.67,6,3,1,3,3,5,9,6,6
g0042100307,1610612748,1629639,Tyler Herro,Miami Heat,0,0.0,0.0,0,0,0,0,1,1,0,1,1
g0042100307,1610612748,200782,P.J. Tucker,Miami Heat,0,0.0,0.0,0,0,0,0,1,2,0,1,2
g0042100307,1610612738,1628369,Jayson Tatum,Boston Celtics,80.0,35.71,57.14,4,5,4,1,9,3,5,14,7
g0042100307,1610612748,202710,Jimmy Butler,Miami Heat,72.73,60.0,25.0,8,12,1,3,8,3,11,20,4
g0042100307,1610612748,1628389,Bam Adebayo,Miami Heat,33.33,57.14,0,1,12,0,2,9,0,3,21,0
g0042100307,1610612738,1627759,Jaylen Brown,Boston Celtics,87.5,70.0,20.0,7,7,1,1,3,4,8,10,5
g0042100307,1610612738,1628401,Derrick White,Boston Celtics,0,20.0,66.67,0,1,2,0,4,1,0,5,3
g0042100307,1610612748,203506,Victor Oladipo,Miami Heat,0,60.0,14.29,0,3,1,0,2,6,0,5,7
g0042100307,1610612738,1629684,Grant Williams,Boston Celtics,33.33,71.43,0.0,1,5,0,2,2,1,3,7,1
g0042100311,1610612742,1628425,Sterling Brown,Dallas Mavericks,0,66.67,0.0,0,2,0,0,1,1,0,3,1
g0042100311,1610612742,203915,Spencer Dinwiddie,Dallas Mavericks,80.0,50.0,42.86,4,2,3,1,2,4,5,4,7
g0042100311,1610612744,1630228,Jonathan Kuminga,Golden State Warriors,100.0,0.0,0,2,0,0,0,4,0,2,4,0
g0042100311,1610612742,203939,Dwight Powell,Dallas Mavericks,50.0,50.0,0,1,1,0,1,1,0,2,2,0
g0042100311,1610612744,1627814,Damion Lee,Golden State Warriors,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100311,1610612742,1628973,Jalen Brunson,Dallas Mavericks,50.0,54.55,0.0,2,6,0,2,5,5,4,11,5
g0042100311,1610612744,203952,Andrew Wiggins,Golden State Warriors,0.0,55.56,37.5,0,5,3,2,4,5,2,9,8
g0042100311,1610612742,1627827,Dorian Finney-Smith,Dallas Mavericks,0,33.33,33.33,0,1,1,0,2,2,0,3,3
g0042100311,1610612742,1628467,Maxi Kleber,Dallas Mavericks,0,0,25.0,0,0,1,0,0,3,0,0,4
g0042100311,1610612744,1626172,Kevon Looney,Golden State Warriors,0,100.0,0,0,5,0,0,0,0,0,5,0
g0042100311,1610612744,202691,Klay Thompson,Golden State Warriors,0,66.67,25.0,0,6,1,0,3,3,0,9,4
g0042100311,1610612744,1630541,Moses Moody,Golden State Warriors,0,0,100.0,0,0,1,0,0,0,0,0,1
g0042100311,1610612744,201939,Stephen Curry,Golden State Warriors,57.14,57.14,33.33,4,4,3,3,3,6,7,7,9
g0042100311,1610612742,1628373,Frank Ntilikina,Dallas Mavericks,0,0,0.0,0,0,0,0,0,2,0,0,2
g0042100311,1610612744,203490,Otto Porter Jr.,Golden State Warriors,0,83.33,0.0,0,5,0,0,1,1,0,6,1
g0042100311,1610612742,202722,Davis Bertans,Dallas Mavericks,0,0,0.0,0,0,0,0,0,4,0,0,4
g0042100311,1610612742,1629029,Luka Doncic,Dallas Mavericks,62.5,37.5,30.0,5,3,3,3,5,7,8,8,10
g0042100311,1610612744,203110,Draymond Green,Golden State Warriors,66.67,80.0,0.0,2,4,0,1,1,1,3,5,1
g0042100311,1610612742,203493,Reggie Bullock,Dallas Mavericks,100.0,50.0,30.0,1,1,3,0,1,7,1,2,10
g0042100311,1610612742,1630182,Josh Green,Dallas Mavericks,0,50.0,0.0,0,1,0,0,1,1,0,2,1
g0042100311,1610612744,1629673,Jordan Poole,Golden State Warriors,100.0,87.5,25.0,2,7,1,0,1,3,2,8,4
g0042100311,1610612742,203504,Trey Burke,Dallas Mavericks,100.0,100.0,0.0,1,3,0,0,0,1,1,3,1
g0042100312,1610612742,203915,Spencer Dinwiddie,Dallas Mavericks,0,50.0,0.0,0,2,0,0,2,2,0,4,2
g0042100312,1610612742,203939,Dwight Powell,Dallas Mavericks,0,0.0,0,0,0,0,0,1,0,0,1,0
